longitude,latitude,house_id
36.32183557,32.30308969,D01-B01-H001
36.32176629,32.30315549,D01-B01-H002
36.32169783,32.30311444,D01-B01-H003
36.32164854,32.30313622,D01-B01-H004
36.32159444,32.30312533,D01-B01-H005
36.32161395,32.30321627,D01-B01-H006
36.32153182,32.30319591,D01-B01-H007
36.32144079,32.30320138,D01-B01-H008
36.32136938,32.30323619,D01-B01-H009
36.32131605,32.30331523,D01-B01-H010
36.3212953,32.3031973,D01-B01-H012
36.32118231,32.30332291,D01-B01-H013
36.32109904,32.30327321,D01-B01-H014
36.32106902,32.30343449,D01-B01-H015
36.32100028,32.30335311,D01-B01-H016
36.32097847,32.30328481,D01-B01-H017
36.32090761,32.30337085,D01-B01-H018
36.32072933,32.30355399,D01-B01-H019
36.32072444,32.30343791,D01-B01-H020
36.32064643,32.30338198,D01-B01-H021
36.32059041,32.3034057,D01-B01-H022
36.32051658,32.30342623,D01-B01-H023
36.32053514,32.30348913,D01-B01-H024
36.32055703,32.30355215,D01-B01-H025
36.32055302,32.30363271,D01-B01-H026
36.32046232,32.30366983,D01-B01-H027
36.32038457,32.3035514,D01-B01-H028
36.32026326,32.3035178,D01-B01-H029
36.3203229,32.303624,D01-B01-H030
36.32016694,32.30363641,D01-B01-H031
36.3201324,32.30358171,D01-B01-H032
36.32006746,32.30359168,D01-B01-H033
36.32000051,32.30355532,D01-B01-H034
36.3199322,32.30358331,D01-B01-H035
36.31991706,32.30374681,D01-B01-H036
36.31980754,32.30372111,D01-B01-H037
36.31980834,32.30363758,D01-B01-H038
36.31973051,32.30366651,D01-B01-H039
36.31967301,32.30380144,D01-B01-H040
36.31961017,32.30389753,D01-B01-H041
36.31954549,32.30376738,D01-B01-H042
36.31945587,32.30375259,D01-B01-H043
36.31935961,32.30375574,D01-B01-H044
36.31942217,32.303848,D01-B01-H045
36.31935564,32.30386243,D01-B01-H046
36.31936533,32.30398736,D01-B01-H047
36.31923103,32.30391981,D01-B01-H048
36.31927008,32.30378606,D01-B01-H049
36.31917621,32.30381058,D01-B01-H050
36.3191176,32.30382449,D01-B01-H051
36.3190375,32.30383859,D01-B01-H052
36.319083,32.30394821,D01-B01-H053
36.31895504,32.30395226,D01-B01-H054
36.32160417,32.30298628,D01-B02-H001
36.32151706,32.30300382,D01-B02-H002
36.32140179,32.30304216,D01-B02-H003
36.32140179,32.30304216,D01-B02-H003
36.32128362,32.30306265,D01-B02-H004
36.32120003,32.30307651,D01-B02-H005
36.3210734,32.30310289,D01-B02-H006
36.32101599,32.30315044,D01-B02-H007
36.32094242,32.3031799,D01-B02-H008
36.32086006,32.30319695,D01-B02-H009
36.32079446,32.3032149,D01-B02-H010
36.3207053,32.30322335,D01-B02-H011
36.32056145,32.30325827,D01-B02-H012
36.32047105,32.30327543,D01-B02-H013
36.32041644,32.30329497,D01-B02-H014
36.32033846,32.30330904,D01-B02-H015
36.32017137,32.30331834,D01-B02-H016
36.32011367,32.30334481,D01-B02-H017
36.32004076,32.30335626,D01-B02-H018
36.31995952,32.30337331,D01-B02-H019
36.31982842,32.30339233,D01-B02-H020
36.31975893,32.30340007,D01-B02-H021
36.3196645,32.30343577,D01-B02-H022
36.31952124,32.30345836,D01-B02-H023
36.31929589,32.30353417,D01-B02-H024
36.31915236,32.30352743,D01-B02-H025
36.31907544,32.30354108,D01-B02-H026
36.31901066,32.30351565,D01-B02-H027
36.31894819,32.30356477,D01-B02-H028
36.31894819,32.30356477,D01-B02-H028-1
36.3188019,32.30358282,D01-B02-H029
36.31864035,32.30360491,D01-B02-H030
36.31845118,32.30363735,D01-B02-H031
36.31829874,32.30360241,D01-B02-H032
36.31860514,32.30353483,D01-B02-H033
36.31875444,32.3034929,D01-B02-H034
36.31926673,32.30346048,D01-B02-H036
36.31923726,32.30340019,D01-B02-H037
36.31939608,32.30339944,D01-B02-H038
36.31951052,32.30337162,D01-B02-H039
36.31964413,32.30333457,D01-B02-H040
36.31974765,32.30331545,D01-B02-H041
36.31984066,32.30329413,D01-B02-H042
36.31994016,32.30327285,D01-B02-H043
36.32010818,32.30326652,D01-B02-H044
36.32020797,32.30321837,D01-B02-H045
36.32033091,32.30320781,D01-B02-H046
36.32041223,32.30317999,D01-B02-H047
36.32047302,32.3031997,D01-B02-H048
36.32053434,32.30317235,D01-B02-H049
36.32062139,32.30315793,D01-B02-H050
36.32072325,32.30313588,D01-B02-H051
36.32085944,32.30308761,D01-B02-H053
36.32094762,32.30308673,D01-B02-H054
36.32107374,32.30304061,D01-B02-H055
36.32110526,32.30299511,D01-B02-H056
36.32123992,32.30297532,D01-B02-H057
36.32137595,32.30294034,D01-B02-H058
36.32164067,32.30286042,D01-B02-H060
36.32137387,32.30247745,D01-B03-H001
36.32129097,32.30253437,D01-B03-H002
36.32118781,32.30254601,D01-B03-H003
36.32112184,32.30258437,D01-B03-H004
36.3209883,32.30260457,D01-B03-H005
36.32093679,32.30264477,D01-B03-H006
36.320881,32.3026716,D01-B03-H007
36.32061375,32.30272347,D01-B03-H008
36.32061375,32.30272347,D01-B03-H008
36.32051014,32.30279611,D01-B03-H009
36.32037502,32.30287092,D01-B03-H010
36.32029797,32.30288338,D01-B03-H011
36.32007607,32.30297422,D01-B03-H012
36.31996506,32.30299473,D01-B03-H013
36.31987483,32.30303134,D01-B03-H014
36.31966512,32.30304647,D01-B03-H015
36.31959809,32.30313669,D01-B03-H016
36.31936913,32.30322284,D01-B03-H017
36.31928227,32.30325358,D01-B03-H018
36.31922563,32.30328008,D01-B03-H019
36.31912182,32.30331837,D01-B03-H020
36.31891819,32.30339562,D01-B03-H021
36.31891819,32.30339562,D01-B03-H021
36.31871906,32.30345302,D01-B03-H022
36.31862617,32.30348618,D01-B03-H023
36.31854017,32.30353326,D01-B03-H024
36.31840626,32.30357997,D01-B03-H025
36.31826571,32.30362104,D01-B03-H026
36.31817173,32.30363107,D01-B03-H027
36.31808121,32.303679,D01-B03-H028
36.31824547,32.30355336,D01-B03-H029
36.31837061,32.30351605,D01-B03-H030
36.31855987,32.30343414,D01-B03-H031
36.31864673,32.30339683,D01-B03-H032
36.31879993,32.30334396,D01-B03-H033
36.31900049,32.30327754,D01-B03-H034
,,D01-B03-H035
36.3192307,32.30318296,D01-B03-H036
36.3193158,32.30315438,D01-B03-H037
36.31941599,32.30311316,D01-B03-H038
36.31952827,32.30307224,D01-B03-H039
36.3197984,32.3029472,D01-B03-H040
36.31988347,32.30292157,D01-B03-H041
36.3199957,32.30290495,D01-B03-H042
36.32008696,32.30288438,D01-B03-H043
36.32015948,32.30280749,D01-B03-H044
36.32028943,32.30275959,D01-B03-H045
36.32036153,32.30273522,D01-B03-H046
36.32042548,32.30270208,D01-B03-H047
36.32049512,32.30267807,D01-B03-H048
36.32049512,32.30267807,D01-B03-H048
36.32081075,32.30258066,D01-B03-H049
36.32091597,32.3025285,D01-B03-H050
36.32112219,32.3024444,D01-B03-H051
36.3212159,32.30243609,D01-B03-H052
36.32127328,32.30241128,D01-B03-H053
36.32135462,32.30238052,D01-B03-H054
36.32140856,32.302336,D01-B03-H055
36.32109246,32.30230678,D01-B03-H057
36.32102087,32.30235011,D01-B03-H058
36.32079743,32.30243732,D01-B03-H059
36.32071545,32.30247283,D01-B03-H060
36.32037288,32.30260364,D01-B03-H061
36.32018487,32.30265193,D01-B03-H063
36.32009565,32.30266304,D01-B03-H064
36.32003614,32.30273271,D01-B03-H065
36.31989474,32.30278063,D01-B03-H066
36.3198,32.30281141,D01-B03-H067
36.31970595,32.30284151,D01-B03-H068
36.31954115,32.30288179,D01-B03-H069
36.31954115,32.30288179,D01-B03-H069
36.31945166,32.30293197,D01-B03-H070
36.31900473,32.30311142,D01-B03-H071
36.31933316,32.30299112,D01-B03-H071-1
36.31890007,32.30316045,D01-B03-H072
36.3187772,32.30318345,D01-B03-H073
36.31869885,32.30322368,D01-B03-H074
